Occupation,Owns_House,Relationship_Type_Pookie,Family_Structure,Number_of_Vehicles_Owned,Gym_Category,Owns_Land,Land_Legal_Dispute,Personality_Type,Rural_or_Urban_Background,Education_Level,Age,Yearly_Inhand_Income_INR,Savings_in_Lakhs,Dahej_Category
Private Job,No,Not Pookie,Joint,2,Optional,No,No,Chill,Shehr ka Launda,Graduate+,28,1290312.0,13.11,2
Unemployed,Yes,Not Pookie,1,Alone,Obese,No,No,Chill,Gaon ka Chhora,10th Pass,28,0.0,1.5,0
Business,Yes,Not Pookie,Nuclear,5,Optional,No,No,Chill,Gaon ka Chhora,12th Pass,28,27765581.0,286.84,8
Self-employed,No,Not Pookie,Joint,0,Optional,No,No,Virus,Gaon ka Chhora,10th Pass,29,19280.0,1.59,1
Private Job,No,Pookie,Nuclear,8,Passionate,Yes,No,Virus,Gaon ka Chhora,Graduate+,36,37100558.0,484.54,9
Unemployed,Yes,Not Pookie,Nuclear,0,Optional,No,No,Chill,Gaon ka Chhora,10th Pass,18,0.0,1.06,0
Private Job,Yes,Not Pookie,Nuclear,8,Obese,Yes,No,Virus,Gaon ka Chhora,10th Pass,33,37184516.0,506.65,9
Private Job,Yes,Pookie,Nuclear,5,Passionate,No,No,Chill,Gaon ka Chhora,Uneducated,34,24179307.0,325.34,8
Private Job,No,Pookie,Joint,1,Optional,Yes,No,Chill,Gaon ka Chhora,12th Pass,29,1187209.0,16.28,3
Private Job,No,Not Pookie,Nuclear,1,Optional,No,No,Chill,Gaon ka Chhora,12th Pass,26,1038687.0,14.12,1
Freelancer,Yes,Not Pookie,Nuclear,1,Obese,No,No,Chill,Gaon ka Chhora,Graduate+,23,8855499.0,101.54,4
Business,Yes,Not Pookie,Nuclear,0,Optional,No,No,Virus,Shehr ka Launda,12th Pass,34,205734.0,3.9,3
Private Job,Yes,Not Pookie,Nuclear,0,Optional,No,No,Chill,Shehr ka Launda,Graduate+,36,736404.0,14.87,2
Business,Yes,Not Pookie,Alone,0,Optional,No,No,Chill,Gaon ka Chhora,10th Pass,28,2205847.0,32.16,4
Private Job,No,Not Pookie,Joint,2,Optional,Yes,No,Virus,Gaon ka Chhora,12th Pass,29,12822.0,0.0,2
Government Job,No,Not Pookie,Nuclear,2,Optional,No,No,Chill,Gaon ka Chhora,Graduate+,31,9310672.0,126.48,5
Unemployed,Yes,Not Pookie,Nuclear,2,Optional,No,No,Chill,Shehr ka Launda,Graduate+,33,0.0,0.88,0
Government Job,NULL,Not Pookie,Nuclear,-762,Optional,Yes,No,Chill,Shehr ka Launda,Graduate+,28,42355989.0,475.85,10
Private Job,Yes,Not Pookie,Nuclear,0,Optional,No,No,Chill,Shehr ka Launda,Uneducated,28,3924271.0,39.64,2
Private Job,Yes,Not Pookie,Nuclear,3,Passionate,No,No,Chill,Shehr ka Launda,12th Pass,28,1741974.0,17.11,3
Business,Yes,Not Pookie,Nuclear,11,Passionate,No,No,Chill,Gaon ka Chhora,10th Pass,20,48390914.0,,10
Government Job,No,Not Pookie,Nuclear,2,Optional,No,No,Virus,Gaon ka Chhora,Uneducated,27,435353.0,0.0,2
Private Job,Yes,Not Pookie,Nuclear,7,Obese,Yes,No,Chill,Shehr ka Launda,12th Pass,34,30012474.0,431.05,10
Unemployed,No,Not Pookie,Nuclear,2,Passionate,No,No,Virus,Gaon ka Chhora,12th Pass,24,0.0,0.0,0
Private Job,No,Not Pookie,Joint,1,99999,No,No,Chill,Shehr ka Launda,Graduate+,-450,606389.0,8.72,2
Business,Yes,Not Pookie,Nuclear,0,Passionate,Yes,Yes,Chill,Shehr ka Launda,12th Pass,31,4052772.0,46.49,4
Private Job,Yes,Not Pookie,Nuclear,11,Optional,Yes,No,Virus,Gaon ka Chhora,Graduate+,29,43931838.0,656.56,10
Government Job,No,unknown,Joint,1,NULL,No,No,Virus,Gaon ka Chhora,Graduate+,31,39388.0,0.0,2
Unemployed,Yes,Not Pookie,Nuclear,2,Optional,Yes,No,Chill,Shehr ka Launda,Graduate+,28,0.0,0.0,2
Private Job,No,Not Pookie,Joint,5,Obese,No,No,Virus,Gaon ka Chhora,12th Pass,29,28899999.0,382.06,5
Private Job,Yes,Pookie,Alone,3,Obese,No,No,Virus,Shehr ka Launda,Graduate+,28,12425845.0,175.36,4
Unemployed,Yes,Not Pookie,Alone,2,Passionate,No,Yes,Chill,Gaon ka Chhora,Uneducated,25,0.0,3.77,0
Freelancer,No,Not Pookie,Alone,2,Obese,Yes,No,Virus,Shehr ka Launda,12th Pass,29,1231288.0,15.69,2
Private Job,Yes,Not Pookie,Nuclear,0,Optional,Yes,No,Chill,Gaon ka Chhora,Graduate+,27,34553.0,0.0,4
Self-employed,Yes,Not Pookie,Joint,1,Optional,No,No,Chill,Gaon ka Chhora,Graduate+,28,116428.0,1.85,3
Private Job,No,Not Pookie,Joint,2,Optional,No,No,Chill,Shehr ka Launda,12th Pass,29,11051627.0,129.79,3
Private Job,No,Not Pookie,Nuclear,0,Optional,No,No,Chill,Gaon ka Chhora,12th Pass,28,3816233.0,35.92,1
Private Job,Yes,Not Pookie,Nuclear,2,Obese,Yes,No,Chill,Gaon ka Chhora,Graduate+,21,9470057.0,109.03,5
Private Job,Yes,Not Pookie,Nuclear,9,Optional,No,No,Chill,Shehr ka Launda,Graduate+,30,25576839.0,302.35,8
Unemployed,No,Not Pookie,Joint,0,Obese,No,No,Chill,Shehr ka Launda,12th Pass,30,0.0,0.0,0
Business,No,Not Pookie,Joint,7,Optional,No,No,Virus,Gaon ka Chhora,12th Pass,28,30418664.0,308.06,9
Business,Yes,Not Pookie,Alone,1,Obese,No,No,Chill,Gaon ka Chhora,Graduate+,22,109269.0,5.61,3
Private Job,No,Not Pookie,Nuclear,2,Optional,No,No,Chill,Shehr ka Launda,12th Pass,31,5989181.0,73.07,3
Business,Yes,Pookie,Joint,3,Obese,No,No,Chill,Gaon ka Chhora,12th Pass,28,13347265.0,159.73,6
Private Job,Yes,Not Pookie,Nuclear,5,Obese,No,No,Chill,Shehr ka Launda,12th Pass,34,15602906.0,227.56,6
Unemployed,No,Not Pookie,Joint,2,Optional,Yes,No,Chill,Shehr ka Launda,10th Pass,23,0.0,1.86,0
Unemployed,No,Not Pookie,Nuclearx,2,Optional,Yes,"['weird', 123]",Chill,Gaon ka Chhora,10th Pass,21,0.0,0.0,0
Freelancer,No,Not Pookie,Alone,4,Passionate,Yes,No,Virus,Gaon ka Chhora,Graduate+,33,20751201.0,259.83,7
Government Job,No,Not Pookie,Nuclear,5,Passionate,Yes,No,Virus,Shehr ka Launda,10th Pass,28,20179720.0,259.29,8
Government Job,Yes,Not Pookie,123,1,Obese,No,No,Chill,Gaon ka Chhora,12th Pass,25,84001.0,0.0,3
Private Job,Yes,Not Pookie,Joint,1,1000000000,No,No,Virus,Shehr ka Launda,10th Pass,1000000000,2173777.0,32.68,2
Private Job,Yes,Not Pookie,Nuclear,7,Passionate,No,No,Chill,Gaon ka Chhora,Graduate+,29,39463548.0,398.67,10
Private Job,Yes,Pookie,Joint,6,Obese,Yes,No,Chill,Gaon ka Chhora,12th Pass,38,25024884.0,342.58,8
Unemployed,Yes,Pookie,Joint,0,Obese,No,No,Chill,Gaon ka Chhora,Graduate+,25,0.0,0.72,0
Self-employed,Yes,Not Pookie,Joint,1,Obese,Yes,No,Chill,Gaon ka Chhora,Graduate+,30,1807247.0,19.93,5
Private Job,Yes,Not Pookie,Joint,1,Optional,No,No,Virus,Gaon ka Chhora,Graduate+,28,4586380.0,45.79,2
Freelancer,No,Not Pookie,Nuclear,6,Optional,No,No,Virus,Shehr ka Launda,10th Pass,29,19312982.0,203.49,5
Business,Yes,Pookie,Nuclear,4,Obese,No,No,Chill,Gaon ka Chhora,10th Pass,28,6022501.0,62.62,6
Self-employed,Yes,Not Pookie,Joint,1,Obese,Yes,No,Chill,Gaon ka Chhora,10th Pass,30,3153255.0,47.4,4
Private Job,No,Pookie,Nuclear,0,Optional,Yes,No,Chill,Gaon ka Chhora,12th Pass,24,1410059.0,19.59,2
Government Job,Yes,Not Pookie,Nuclear,0,Obese,No,No,Chill,Shehr ka Launda,12th Pass,22,537079.0,7.03,2
Private Job,Yes,Not Pookie,Joint,0,Passionate,Yes,No,Chill,Gaon ka Chhora,10th Pass,29,1996481.0,24.99,4
Private Job,Yes,Not Pookie,Joint,3,Passionate,No,No,Chill,Shehr ka Launda,12th Pass,35,3958493.0,55.66,4
Self-employed,No,Not Pookie,Joint,1,Obese,Yes,No,Virus,Gaon ka Chhora,Graduate+,31,2448038.0,29.95,3
Business,No,Not Pookie,Alone,2,Optional,Yes,No,Chill,Shehr ka Launda,Graduate+,33,13817088.0,150.0,7
Self-employed,Yes,Not Pookie,Joint,0,Obese,No,No,Chill,Gaon ka Chhora,10th Pass,34,154649.0,4.02,2
Private Job,No,Not Pookie,Nuclear,1,Optional,No,No,Chill,Shehr ka Launda,10th Pass,31,4063481.0,49.38,1
Freelancer,No,Not Pookie,Joint,2,Optional,No,No,Chill,Shehr ka Launda,Graduate+,26,1195542.0,20.96,3
Self-employed,Yes,Not Pookie,Nuclear,8,Obese,Yes,No,Chill,Shehr ka Launda,Graduate+,31,40705917.0,550.73,10
Private Job,No,Not Pookie,Nuclear,0,Optional,Yes,No,Chill,Shehr ka Launda,Graduate+,38,829083.0,9.39,2
Private Job,No,Not Pookie,Joint,7,Optional,No,No,Chill,Shehr ka Launda,10th Pass,25,31970575.0,334.75,8
Private Job,Yes,Not Pookie,Alone,3,Optional,No,No,Chill,Gaon ka Chhora,Graduate+,35,9787873.0,149.92,5
Private Job,Yes,Not Pookie,Nuclear,0,Obese,No,No,Chill,Gaon ka Chhora,Uneducated,33,5307.0,0.67,1
Self-employed,No,Not Pookie,Joint,2,Passionate,No,No,Chill,Shehr ka Launda,12th Pass,35,8351592.0,125.45,5
Private Job,Yes,Not Pookie,Joint,3,Obese,Yes,No,Chill,Gaon ka Chhora,Graduate+,29,13683500.0,149.63,6
Private Job,No,Not Pookie,Nuclear,0,Passionate,No,No,Virus,Shehr ka Launda,12th Pass,22,241470.0,4.34,0
Unemployed,Yes,Not Pookie,Nuclear,2,unknown,No,No,Chill,Shehr ka Launda,12th Pass,25,0.0,2.8,0
Private Job,No,Not Pookie,Nuclear,3,Obese,No,No,Chill,Gaon ka Chhora,12th Pass,25,13799934.0,191.73,3
Government Job,Yes,Not Pookie,Joint,0,Obese,No,No,Chill,Gaon ka Chhora,Graduate+,24,1279795.0,12.96,3
Private Job,No,Not Pookie,Joint,4,Optional,No,No,Virus,Gaon ka Chhora,Graduate+,35,13562789.0,160.99,3
Private Job,Yes,Not Pookie,Nuclear,7,Obese,Yes,No,Virus,Shehr ka Launda,10th Pass,26,37280653.0,455.83,9
Private Job,No,Not Pookie,Joint,2,Optional,No,No,Virus,Gaon ka Chhora,Uneducated,24,2182561.0,23.32,0
Private Job,No,Not Pookie,Nuclear,4,Optional,No,No,Chill,Shehr ka Launda,12th Pass,27,17856398.0,209.11,5
Self-employed,Yes,Not Pookie,Joint,1,Optional,No,No,Chill,Gaon ka Chhora,Graduate+,26,244772.0,2.38,3
Private Job,Yes,Pookie,Nuclear,4,Passionate,No,No,Chill,Shehr ka Launda,12th Pass,24,17587988.0,206.91,6
Private Job,Yes,Not Pookie,Joint,3,Optional,No,No,Virus,Shehr ka Launda,12th Pass,28,15360353.0,209.19,5
